Msg#,Utterance #,Date,Time,User ID,Gender,Message,act,politeness,meta
1,a,2023-01-21,15:59:45,JuvieThrowaw,M,My mom was as in an abusive relationship with her boyfriend when I was 12-14.,Inform,,
1,b,2023-01-21,15:59:45,JuvieThrowaw,M,"He would beat her badly,leaving her with broken ribs, black eyes, etc.",Inform,,
1,c,2023-01-21,15:59:45,JuvieThrowaw,M,My mom would always tell me and my sister to just ignore it.,Inform,,
1,d,2023-01-21,15:59:45,JuvieThrowaw,M,"One day, I came home from a friends house, and my little sister (10 at the time) was crying.",Inform,,
1,e,2023-01-21,15:59:45,JuvieThrowaw,M,"She told me he hit her and threw against the wall, and showed me the bruises. ",Inform,,
1,f,2023-01-21,15:59:45,JuvieThrowaw,M," In that moment, I went dark.",Inform,,
1,g,2023-01-21,15:59:45,JuvieThrowaw,M,"We lived in a poor trailer trash town with high crime,so I had plenty of friends who had guns.",Inform,,
1,h,2023-01-21,15:59:45,JuvieThrowaw,M,"The next day, I went to one of my good friend’s house and told him everything, and we got in the car and drove to mom’s bf’s house and waited for him.",Inform,,
1,i,2023-01-21,15:59:45,JuvieThrowaw,M,"When he got home and got out of his car, my friend handed me the gun, ",Inform,,
1,j,2023-01-21,15:59:45,JuvieThrowaw,M,"I got out and walked up to him, said 'fuck you bitch' and shot him.",Inform,,
